Mean RGB,Red,Green,Blue,Orange,Black,Class
"[111.95194980863238, 100.38822545213476, 70.54901269127326]",188.46141160644558,203.50725561145944,237.97731319297486,172.0888993093094,166.096953816428,Apple
"[216.26054671308037, 167.4525522911369, 137.01027005596913]",219.80199410058808,270.564213756709,297.8767491861721,142.40285936216233,305.9097831620721,Apple
"[114.99606715724832, 80.66175679786699, 84.64705052479897]",182.4076297299645,225.35093003355524,220.79524874021408,184.06293391231088,163.9985903411992,Apple
"[219.49318784013713, 142.4524725732497, 112.45813207487194]",184.9331558205764,271.09230329883985,297.9734057966295,120.06646564542984,284.8101085288714,Apple
"[136.0909847269095, 84.00977651567744, 95.8003820156182]",174.2834176213231,238.61292053343814,225.66106673621636,172.8481512993268,186.42991141040744,Apple
"[200.67488802415926, 103.74674867529463, 96.20846923339585]",151.56079705555675,269.0799625985492,276.13139768487935,126.32991783923724,245.53995213902945,Apple
"[124.35881133737144, 100.11665685130815, 78.32156094886658]",182.27652636511954,213.51400621885767,238.12544963080194,165.56338756742818,177.82779829316212,Apple
"[119.9425540605232, 120.57093236813824, 75.50111762374802]",196.1588188133582,195.34023973920023,247.27194499378055,160.98097563614863,186.0752126671329,Apple
"[199.10471895207067, 100.70340675816905, 82.34508463670511]",141.58450317727002,265.0110200705703,282.12335075422385,118.4864857684563,237.83308896263873,Apple
"[111.93888880459382, 43.26883469767468, 40.084517303002315]",154.743148862797,242.8315665528321,246.15274035806596,192.0721912972857,126.52776537312515,Apple
"[172.21113822598224, 150.74500490587602, 145.57667872742243]",225.3233710186699,248.431780415613,253.6812879805735,168.07667865673122,271.24398983658256,Apple
"[169.91435576815945, 136.0917292465108, 91.11925676664049]",184.56230540757207,226.52325289779571,272.48622913485474,127.97645848361853,235.99696188535822,Apple
"[133.99449465096095, 78.71055161720828, 79.45266399826284]",164.7738118666992,235.25564823037988,234.44987248868023,168.52574593635137,174.53538709692216,Apple
"[228.81628185590486, 204.53867858217973, 128.70483707896418]",243.0773399959699,267.3353154544236,331.8786375405264,137.1635129595223,332.803090379323,Apple
"[156.56239509229596, 98.77851023107246, 111.25770318688548]",178.3968403920216,247.5787025191796,234.37326113192987,162.64539429569632,215.97975404867785,Apple
"[149.1993989052396, 93.88171125300966, 90.84945348490191]",168.11057699714033,237.64087779872537,240.87265984889956,156.54137275755016,198.3125299621374,Apple
"[220.8666298555617, 184.7733025377829, 60.14498997583501]",197.29085155508244,239.4395060122635,347.6948611153035,71.9269787344166,294.1779416164068,Apple
"[192.96478240718662, 103.6613951867239, 99.41260929458625]",156.4510145719864,264.61603776611855,268.6792292828571,132.26359872990383,240.54928598578104,Apple
"[150.3360009722333, 154.01406901266913, 103.51105598480322]",213.04794027967654,208.59916144795585,263.1922240511713,147.61362431439656,238.82166014256666,Apple
"[90.68638158911425, 85.66567202508166, 56.10551714935728]",193.61147076912528,200.11487573651408,234.77998738746857,190.89455163808867,136.78616970963154,Apple
"[207.30009293082148, 110.14887337058929, 90.35051695773541]",150.23738334298963,268.54867962711495,286.73254977421436,115.96181760154482,251.53393160459956,Apple
"[223.42141852600767, 149.61968209230898, 108.51868971088658]",187.50883204233568,269.81187459981663,306.2024718868099,114.06168069697594,289.9646280878838,Apple
"[129.85831529745622, 76.65693379764808, 67.18193511362013]",161.40055500232504,230.61405794088245,240.8632247745906,167.2673040430636,165.08446309923056,Apple
"[125.97523505195693, 77.15642800431407, 54.550489648466375]",159.92579614674457,224.66386417817165,249.0037759331177,165.3470260746968,157.47580814102253,Apple
"[160.6240590682092, 90.76345398485175, 86.8342041357757]",157.11461362303234,245.5889052999484,249.6353897776832,148.18252933093584,203.90750829408273,Apple
"[136.46548783071384, 94.99566918196786, 87.39653288867827]",175.2505683286144,227.7331096049997,236.088815321566,163.06192342007057,187.8434467666264,Apple
"[158.72012560673997, 92.69118302880784, 51.427014303134584]",143.1998862590215,232.76805652696865,274.2730285489907,130.9317265795044,190.8624412608046,Apple
"[169.33262493962437, 138.17926029230463, 66.72745422513428]",175.7411740942655,216.27107120963728,288.46767121537357,111.85170707490524,228.51608037781358,Orange
"[132.65493047748018, 116.54943774182003, 18.564833124743615]",169.9904129748327,192.64096604445493,295.09776372119427,132.8925357142137,177.55493529290888,Orange
"[126.37203480590209, 104.30215508837057, 30.529524554180654]",168.39282899089523,199.02709240577767,277.91334096069374,145.46970020040118,166.6759808927698,Orange
"[163.61546409245878, 112.56035268236842, 32.30183303125551]",148.5408186869689,219.3227795632297,298.3862038657428,110.20189849096695,201.2045265478611,Orange
"[171.95914621920855, 145.03285408039304, 120.79381266993899]",206.2073164043596,237.1789753108053,261.94613463232315,147.93787713820277,255.33433359124274,Orange
"[205.76468387543488, 162.7497152139342, 67.77539382081349]",183.043956916553,235.46278725317566,322.30362717711665,83.80145668823798,270.9613975092037,Orange
"[230.22547458967242, 185.1947833300138, 153.54661705470875]",241.84178400537633,285.3998966946712,312.3998492857104,156.83803745264905,332.98264298854383,Orange
"[129.51931322900762, 107.08026688996364, 96.44300332576776]",191.08333051378344,218.9903030573551,231.04492474601585,168.5270041463735,193.75935834698072,Orange
"[142.14583994547053, 83.76123039348347, 32.41058617276862]",144.230548964864,224.896869978707,277.0693607723236,142.7804091073299,168.14228982292352,Orange
"[228.81895999814483, 138.155563781256, 43.29745173214758]",147.12945315535256,260.54828354147025,340.9736722995658,57.27774382758633,270.77619094899563,Orange
"[146.97941753384745, 126.14788186602529, 52.56022991574633]",174.19618854730334,202.40651001140492,280.1751198619164,126.25573685428834,200.69582717802044,Orange
"[204.4555971058465, 143.50294159728503, 83.89229776422512]",173.7404631488063,247.53101390437536,302.7755459071763,100.2735149880449,263.50161870308017,Orange
"[151.72082236083526, 129.76868098019133, 101.16050835887255]",194.26772132442986,221.21378721208754,252.04306713255835,148.79947185767563,223.8136880367515,Orange
"[223.97497454829835, 187.18975145571008, 156.05680044809085]",245.6751518172412,281.2769880342943,308.21185735063847,160.65074615463251,330.9962495860892,Orange
"[183.17610117650736, 108.31740215747243, 42.781090270538286]",136.82672888396795,238.53614031587475,300.5378666643042,101.0040148960474,217.06304461401444,Orange
"[208.7812612860434, 178.91837008505223, 147.98039739059877]",236.74068719609699,266.9760803641137,295.0501543140708,155.65375307397184,312.24925336974366,Orange
"[218.44212619399522, 180.96175816510763, 140.27271278174456]",231.8621789049962,269.95380660643616,305.98442909210314,145.83446030375316,316.44992394612774,Orange
"[160.80763878237107, 128.0804584808186, 79.67614527221342]",177.8344535849222,219.80890526918967,270.1891089071287,128.77710038348317,220.48126600883143,Orange
"[95.12526427194898, 67.88241012281208, 17.369228860524302]",174.55555803068856,210.6264429160425,264.81167062505324,187.86550374903078,118.14621288090052,Orange
"[114.36669755053632, 63.538778062231586, 35.978838366877525]",158.45939191387095,225.90178800697697,255.12190629065887,177.10613237597767,135.68859434929405,Orange
"[181.85755160781358, 97.26493055130175, 37.693223337328355]",127.40119135043801,243.66637087692663,299.5911730599858,106.57690404389379,209.65069729790036,Orange
"[123.86883399868346, 57.68702568002598, 33.147536043586285]",147.04398924959045,235.31820375174755,260.5567054050485,172.65635319913684,140.60597467306368,Orange
"[229.8526427832278, 182.2959345116122, 128.3194096063351]",224.34363863539423,273.100694643372,319.5497099300571,131.89924111736326,320.2029294300952,Orange
"[203.05809588596233, 146.61421376611085, 99.50099203396874]",184.6459761191417,250.759877927301,294.8020682788833,113.73849811815725,269.4972456238309,Orange
"[134.09606528469948, 109.41077358717907, 47.96470117993126]",169.967912753751,203.6629326401889,269.84456092220665,141.45153262548138,179.59143816191084,Orange
"[236.82664035259552, 182.35220196086647, 85.09887943345784]",202.0505279420985,261.9281951632213,343.81037493135796,88.73099342729574,310.77484200221943,Orange
"[212.85782226884095, 141.99606451018977, 33.91176138119987]",151.95016630554247,243.36875209688304,338.15875575383075,58.78053888762324,258.11110475411726,Orange
"[240.16383997885936, 161.3225598293471, 74.6348290793769]",178.36882481469112,268.37378885059775,340.9328866866762,76.18394136620543,298.78754333973205,Orange
"[223.29846054175562, 183.55161416226522, 96.6133379580179]",209.83402902528914,253.57683527981413,329.60541903113807,103.35998772948054,304.7745635929633,Orange
"[160.9842361235988, 133.9655379955179, 105.0462495033219]",194.47478952914676,227.15628938624437,257.58264098876526,144.34963187997752,234.3019508784366,Orange
"[203.09025427196133, 93.64119286560268, 55.26735471442654]",120.48973068263068,265.21085294010084,299.84571695176106,104.12099478166729,230.36667484398248,Orange
"[223.2859758405188, 141.75271680707877, 32.82422712768351]",148.919582114327,252.5054534939002,345.41646425822233,51.2215324914219,266.5105806825882,Orange
"[234.12667034766173, 170.5576730138379, 122.52374179595681]",211.03952951604288,277.41281812238395,318.5202922573729,124.41322648250153,314.5111840549716,Orange
"[234.184587670463, 143.58341496054263, 103.58933685333292]",178.2701016769029,279.2612168453627,313.66193117531753,107.80863701445367,293.58025966305945,Orange
"[129.0743249415148, 67.4674065715472, 59.3686293921966]",154.7053998551235,235.27279722274974,243.89273354178866,169.98387151645613,157.27894475900513,Orange
"[231.0358369840331, 138.13523174843937, 38.72847963847545]",145.44936745946575,261.79157198907586,345.3002617152108,52.87619518624334,271.95366398748075,Orange
"[183.68138857473483, 119.83616886068656, 13.306531325976751]",140.08610023397804,228.44075278489336,326.3668069452388,85.45864353438793,219.719420288419,Orange
"[189.80037465089728, 162.08651306917275, 107.56636110458594]",205.1671292041409,237.12363929509044,289.8842834899599,125.81733423118469,271.7843666913648,Orange
"[159.9607301314298, 71.61726480694163, 20.064767412682297]",120.68177296884377,244.17055031758542,293.1058363688188,134.74194944638737,176.40595991613424,Orange
"[191.86219291626378, 123.42065517529696, 33.98433883253248]",142.73743760179747,235.11520652867202,317.6345095795323,82.8864276300953,230.64842180344863,Orange
"[201.71255069310772, 139.22872584087116, 95.45627599326036]",177.02002988195594,251.40175348244733,292.44963853000525,112.31923901060357,263.0294505048693,Orange
"[199.6231256554772, 121.06823728306259, 20.97131345486514]",134.77355927265268,241.3025183228527,330.56971503955316,73.73190608962017,234.40713803831272,Orange
"[124.81045164753687, 90.24678279893556, 108.91114423384559]",192.23797138989505,233.62985416442132,212.2830290557506,185.46967223903042,188.63660298135648,Orange
"[138.00440951278657, 121.5918007088716, 18.65928997131748]",169.76661419522804,192.85002925928748,299.47740192118107,126.17610336899683,184.8727999107293,Orange
"[139.90820278461015, 98.36925310893777, 68.45356793451784]",166.15812561064936,220.89225210730513,253.08177824567184,149.57161890042798,184.21917958398225,Orange
"[235.50180716012153, 178.82861948242112, 116.96571395768495]",214.57127699587528,273.7593078367708,326.3345529435755,119.38336769601393,317.996469419556,Orange
"[128.18249155696637, 90.45679368717131, 58.01079287140466]",166.22383722388133,216.49588904879204,251.82916906321213,158.1284988377012,167.26755440157618,Orange
"[231.05681774282857, 191.70763437266424, 118.17400021183292]",226.47337013306782,267.129689286334,329.94003140000655,123.49764384979306,322.65176960350317,Orange
"[229.1242108253093, 200.6905967490138, 138.817279072195]",245.39052356987213,273.3452985452771,325.9954666126268,145.64893453342327,334.7310212376554,Orange
"[159.22122328208226, 119.56144350428285, 87.06882133049938]",176.20866179132904,226.44200179509252,260.474984375848,137.18314814100762,217.31846760952678,Orange
"[163.61407107003262, 101.31447407594503, 35.066464775152305]",140.87465213978484,227.19696759087708,292.2412476463484,116.77710036836642,195.61146147713845,Orange
"[106.0387852266852, 71.35418381049014, 47.05005668960492]",171.73983489132004,217.21813370609127,244.08773513310499,182.13371525073583,136.1960034439606,Orange
"[189.61348438224223, 127.17611280077175, 97.25439361502998]",172.9380732203672,248.4967538534921,277.5080421545497,123.14406175256039,248.1641678488589,Orange
"[85.35333805577382, 82.48621235371925, 43.533460282139735]",193.59526673299135,197.3356567107574,242.50209270431347,193.60701749856773,126.42914897231061,Orange
"[197.93523924947817, 148.2639294557839, 125.33564488688796]",202.3551422039876,257.44896886796835,279.23716926891564,138.72817614308696,277.25363044265066,Orange
"[206.81143116808698, 179.5942506450775, 154.87706982373868]",241.99822269599866,269.1540485572472,291.6327554881992,162.85587823332196,314.66167495223584,Orange
"[184.75877101965128, 123.65233167457698, 62.164056429291364]",155.2034126202562,235.05825523678462,294.29815447952956,102.5077062291567,230.84642624263356,Orange
"[114.48614210398543, 96.0030670766085, 89.72101643887011]",192.3813762809726,215.49237156735597,222.80217240630753,180.42888295525293,174.28002298827522,Orange
"[160.63715037199665, 105.94025376767105, 68.45242605614756]",157.52275832795738,229.58405140482674,268.0067700494357,130.6833411262377,204.23850293459938,Orange
"[187.8538580662169, 136.627222999282, 87.76042865204487]",175.71993420860917,238.75317623523824,286.22568766535557,114.08554548458308,248.3102150376592,Orange
"[246.72752908196915, 196.77810819280455, 122.07665218977942]",231.71699689253083,281.36625828689387,342.4393579364234,126.4159441892819,338.3767227229104,Orange
"[216.19554536340155, 132.65558023916603, 94.74660581222561]",167.57150110078655,265.8676177997821,300.03194355313343,107.3725593540832,270.7673099111222,Orange
"[110.43874393185303, 80.95681918104225, 21.524094224488532]",167.07857421015117,207.24630656060071,270.6690253997544,168.59566907353536,138.61460733033167,Orange
"[176.69442626600554, 125.96397881029024, 50.168719118444535]",156.5745420351427,224.47297257338013,298.40190659372604,100.85868433664449,222.72122622053223,Orange
"[218.5820984824471, 167.3776349298732, 64.92848436553247]",183.18636496111083,244.27754853747402,334.54534447110717,74.48237899535117,282.8588243872079,Orange
"[221.39137075908087, 162.4846144995272, 98.25716206381537]",192.83479925923228,259.2830605684081,316.2020022705957,103.87654701858563,291.6673771481474,Orange
"[228.04825339426077, 141.25909938333996, 52.284723912835084]",153.0170649252353,260.1474403178,336.23447502280425,63.4327940566352,273.3017222583983,Orange
"[182.43454521748262, 149.13840417753687, 123.05764497782887]",206.5216521721277,244.1971022479129,270.0618668715165,143.73767577541432,265.8341792863014,Orange
"[170.5604187349916, 107.22831413573698, 60.27349691410294]",149.2006992840738,233.58129636697473,280.19132533950767,118.74554729362875,210.28947244620292,Orange
"[203.34335307797662, 161.4598231466041, 125.4527986493174]",210.89354743733966,256.5866103593588,290.1728297227734,135.71789385459118,288.3681647139183,Orange
"[177.59915520669884, 143.1611422354192, 104.11982395456364]",193.2018145908468,234.28684934615634,273.4984462474785,131.56277673988038,250.75388395120095,Orange
"[206.15412303634744, 146.37679230872303, 105.20683725865122]",186.76338942337614,255.66971330213536,293.8769800027432,117.47860301786469,273.85062785658323,Orange
"[218.33397052035866, 112.83299280306396, 26.341894630247566]",121.53015014970268,261.86843267417623,335.68666357090495,68.99050492928842,247.17383025068045,Orange
"[174.28048046557078, 116.72649134270809, 73.42074706581388]",159.78523309352033,234.27303551072754,277.43428906432354,119.31713444286599,222.2371835498995,Orange
"[222.66978506252536, 160.04833018297992, 79.1167359532151]",181.4391597758164,254.67059250868053,325.77940964079124,85.61086227676284,285.40630525978605,Orange
"[227.27259019631, 200.38718933809537, 153.29310575475202]",253.81609715930358,279.524892656934,319.6124970059456,159.74929951523907,339.568302668696,Orange
"[166.7164013217511, 130.52436512195374, 45.143279090220986]",163.91619606704148,212.90011224747028,298.1120790427137,104.97846847255894,216.49222620496528,Orange
"[180.98434203476617, 144.6705625932979, 56.452584901995614]",172.03134495551916,219.3508859392951,305.13272486725805,95.28115234093532,238.47808722173107,Orange
"[159.16779595998077, 109.84787930835336, 66.64670592279629]",160.28771422061683,225.4890436859408,269.95908439805135,129.10209587111098,204.55494926708647,Orange
"[205.5697244037599, 116.07759174090455, 19.551078629560056]",127.66990297430168,248.87866879972623,333.42032552066996,72.2426387320473,236.8863938080555,Orange
"[212.94874749273424, 158.43939325720265, 66.7753628792746]",177.00366736539428,243.16675126529995,325.390111118429,79.18521633437814,273.6953771660998,Orange
"[133.96156315649625, 109.11723062884428, 48.093591320828445]",169.91134964963965,203.81480890471283,269.5598864370452,141.7257232553198,179.3467701119125,Orange
"[209.18951538109425, 171.28033847183232, 152.60610536958487]",233.93199491330228,272.1357353745385,289.105028233663,159.45741296162,310.4606755910889,Orange
"[231.1161086655124, 185.46941497928913, 153.40462672315078]",241.87253597319932,285.97576372497105,313.26534990118364,156.59634962201764,333.6862884170069,Orange
"[177.95731759028953, 104.46512960820712, 6.020811028011339]",129.94148060714886,233.16475774276026,323.37657108878483,98.16463523932484,206.4413242386943,Orange
"[166.04993476494272, 130.59450239035237, 78.98725964865234]",176.65227240742848,222.00967514446165,274.9690703624981,123.83391925434661,225.5360105988157,Orange
"[209.68698723553277, 112.13384723092055, 45.75885376389235]",129.31025295151767,257.8240541934319,316.7404135706748,83.3184969390453,242.14975739923258,Orange
"[106.47897297370743, 97.74583599747449, 55.31964268625194]",186.20689243614078,197.80522401747456,246.50408766859587,172.16817624508286,154.76525129148106,Orange
"[159.54612022037338, 103.47316486339433, 53.35621745104963]",150.54907821874662,226.41164321777623,277.167594362814,125.47462112951033,197.50581324331878,Orange
"[112.88124505581501, 102.33757582555684, 28.514226838643097]",177.43669593672695,191.99232373294035,272.966958358883,157.91574032536698,155.0103739864147,Orange
"[190.75366135881634, 91.65455430279154, 33.406277388981614]",116.80808500369568,253.34694259217585,306.4168640053062,103.068549045329,214.25101170175822,Orange
