,Mean RGB,Red,Green,Blue,Orange,Black,Class,Mean Dist
28,"[117.92940020299999, 91.42450084073522, 64.7646995328726]",177.0346152,211.7988519,241.7752103,168.5116308,162.6660662,Apple,
29,"[145.50147220005232, 41.30723079214759, 51.4321059036565]",127.8337844,263.5916151,253.6076758,173.017601,159.7567753,Apple,
30,"[152.52384462865027, 121.28740550028141, 124.75703636040821]",201.9314618,238.1321046,234.3872597,167.2616856,231.3838284,Apple,
31,"[131.0747167084841, 86.36184008241494, 61.291046087409434]",163.0105383,222.2071166,249.3232994,159.0535393,168.5097656,Apple,
32,"[153.9944994528083, 114.74929934941105, 99.92190412028711]",182.6305006,231.0172111,246.8418996,150.7037856,216.4857836,Apple,
33,"[219.1689753316496, 206.23571515223733, 99.73411197695243]",231.8704932,245.6824949,338.6380161,113.7151688,317.0411693,Apple,
34,"[169.01591942072517, 129.0079552780921, 93.74700261484038]",181.1761991,230.7138419,266.8556964,132.2013234,232.3745555,Apple,
35,"[150.22057350778692, 116.35587094550286, 96.13332390849766]",183.7363135,225.8982762,247.6762608,150.2883744,212.9472361,Apple,
36,"[129.12894763618058, 81.28195832984062, 80.1978054428628]",169.9469522,230.833124,232.0276904,171.125452,172.3738085,Apple,
37,"[136.7947080357079, 138.4594195054331, 105.41738949976643]",210.37188,208.3442465,245.4765984,160.591779,221.3518218,Apple,
38,"[153.74160500090758, 87.73080132639986, 82.01080194477817]",157.085097,241.5393085,247.5044187,151.4911326,195.0870222,Apple,
39,"[169.76394417661285, 129.84192520106163, 122.14961831932368]",197.597166,243.7311422,251.6504445,153.0418397,246.1691523,Apple,
40,"[243.4699421057517, 223.55871755108126, 114.3315777635016]",251.3625909,270.8096686,359.2265551,128.9719943,349.7539458,Apple,
41,"[151.5636406918969, 114.17451871609175, 112.55935442641568]",190.7996578,235.526987,237.2692467,161.0959908,220.6285706,Apple,
42,"[114.97938027680273, 77.0657431731361, 53.877325429114286]",168.6643676,218.5946565,244.1510125,173.8993205,148.5333392,Apple,
43,"[99.1947767748416, 57.08684155250105, 47.07567654147934]",172.4827365,226.33016,237.3416009,195.2860381,123.7522951,Apple,
44,"[188.68274299180902, 100.5939816456943, 93.42949171938751]",152.4670379,261.0966601,268.0025295,131.4350931,233.3439448,Apple,
45,"[135.613972070729, 84.2538750966483, 81.89636244865771]",167.5074724,232.9214519,235.4882889,165.7708495,179.4348881,Apple,
46,"[214.51694465898757, 104.16865227857762, 97.12873282148375]",148.0674732,279.6455001,285.9929451,121.5455527,257.4929483,Apple,
47,"[223.2483103255896, 180.07036121243544, 150.63477415208843]",236.9057618,279.5444401,305.2167155,154.6807059,323.9691007,Apple,
48,"[164.72991705749274, 125.11929228641081, 120.8969500111768]",196.0091776,242.1177737,246.5246659,156.0616264,239.5972775,Apple,
49,"[153.53864304867065, 123.02619619578032, 148.58451525759958]",217.9614876,251.1345416,223.6823982,184.752714,246.5500315,Apple,
50,"[169.70509832446356, 158.0170353042091, 108.051142622754]",209.5701628,223.3395739,274.5235337,137.8369742,255.8207444,Apple,
51,"[148.26196009169502, 113.87486667889867, 78.76734322899871]",174.8278833,219.3221522,256.9183594,142.1656878,202.8629794,Apple,
52,"[129.6696477375601, 78.39120974139624, 53.59680103824341]",157.2434293,225.5604119,252.036997,161.4973586,160.7234158,Apple,
53,"[236.01021606662974, 205.42047770590125, 112.25980987011798]",234.8626183,266.0098044,343.9086458,120.8167696,332.416395,Apple,
54,"[207.1125815146274, 207.82129011692342, 118.83781999432132]",244.1420098,243.4006564,323.4585743,135.0899522,316.5560575,Apple,
55,"[95.48261216657278, 91.76563140361158, 58.60277471670559]",193.1347026,197.9814979,236.8749257,185.0496014,144.8176285,Apple,
56,"[181.7653692426145, 139.6304780600472, 126.77124240890875]",202.3139378,249.8393963,262.6365057,148.5862433,261.927982,Apple,
57,"[175.57411403006162, 98.55940078239739, 93.60461686597088]",157.4301469,253.1042372,258.0478535,139.5874238,222.0406479,Apple,
58,"[156.22501128459552, 112.38025121777964, 139.79541037359684]",204.7646845,253.5535518,224.2937192,179.0756631,237.8620015,Apple,
59,"[130.88418735189526, 99.90578018589007, 88.69871553496414]",182.3550438,221.4776505,234.0255384,165.8597436,187.0275315,Apple,
60,"[123.65371903943094, 112.01889432647818, 106.03979044380195]",202.5944604,216.7447254,223.6685471,176.9273304,197.6939859,Apple,
61,"[171.9651916535595, 72.93538042391845, 68.71072875638879]",130.1365182,259.6935061,263.8091913,141.7456801,199.0295483,Apple,
62,"[121.61187874466177, 64.9362091960855, 69.66053300967211]",163.8953691,236.1488587,230.9910785,180.7145345,154.4627793,Apple,
63,"[161.7061004481496, 120.12651426850147, 115.73059649923857]",191.1222177,240.2775292,244.8983648,155.2770182,232.320497,Apple,
64,"[191.2322675308403, 179.25068282568233, 122.6685378656462]",226.372925,239.4896853,293.6191467,138.9855239,289.3927394,Apple,
65,"[157.4999804104502, 96.25371937142795, 81.53481572950054]",159.4332415,238.0221662,253.3005971,144.4999346,201.7893667,Apple,
66,"[83.12011466939275, 65.07596867803197, 76.78643975498565]",199.1826649,221.0797333,207.1325861,213.1282814,130.5373222,Apple,
67,"[122.27814669166047, 124.80018366305742, 108.42898056523207]",212.0071226,208.951624,228.0572181,176.0339723,205.6304326,Apple,
68,"[220.48073894495346, 194.90244575515857, 172.82140483222463]",262.7656384,286.5147644,305.5356626,178.7539471,341.271091,Apple,
69,"[136.97292889903366, 50.738089746959986, 56.07034025212768]",140.1735578,252.2466933,246.7973795,173.5801161,156.4602827,Apple,
70,"[120.2396738467904, 101.29665016732316, 25.925341264701252]",170.56811,196.861429,277.837704,151.2963503,159.3446385,Apple,
71,"[212.99873913595815, 189.36047044932465, 118.65307177122571]",227.3764392,252.4986379,315.9372334,128.2033146,308.7141106,Apple,
72,"[155.94915476243366, 163.11636670223498, 64.91638280059298]",201.5741942,192.2937277,295.0574003,118.4430444,234.8216871,Apple,
73,"[111.95194980863238, 100.38822545213476, 70.54901269127326]",188.4614116,203.5072556,237.9773132,172.0888993,166.0969538,Apple,
74,"[216.26054671308037, 167.4525522911369, 137.01027005596913]",219.8019941,270.5642138,297.8767492,142.4028594,305.9097832,Apple,
75,"[114.99606715724832, 80.66175679786699, 84.64705052479897]",182.4076297,225.35093,220.7952487,184.0629339,163.9985903,Apple,
76,"[219.49318784013713, 142.4524725732497, 112.45813207487194]",184.9331558,271.0923033,297.9734058,120.0664656,284.8101085,Apple,
77,"[136.0909847269095, 84.00977651567744, 95.8003820156182]",174.2834176,238.6129205,225.6610667,172.8481513,186.4299114,Apple,
78,"[200.67488802415926, 103.74674867529463, 96.20846923339585]",151.5607971,269.0799626,276.1313977,126.3299178,245.5399521,Apple,
79,"[124.35881133737144, 100.11665685130815, 78.32156094886658]",182.2765264,213.5140062,238.1254496,165.5633876,177.8277983,Apple,
80,"[119.9425540605232, 120.57093236813824, 75.50111762374802]",196.1588188,195.3402397,247.271945,160.9809756,186.0752127,Apple,
81,"[199.10471895207067, 100.70340675816905, 82.34508463670511]",141.5845032,265.0110201,282.1233508,118.4864858,237.833089,Apple,
82,"[111.93888880459382, 43.26883469767468, 40.084517303002315]",154.7431489,242.8315666,246.1527404,192.0721913,126.5277654,Apple,
83,"[172.21113822598224, 150.74500490587602, 145.57667872742243]",225.323371,248.4317804,253.681288,168.0766787,271.2439898,Apple,
84,"[169.91435576815945, 136.0917292465108, 91.11925676664049]",184.5623054,226.5232529,272.4862291,127.9764585,235.9969619,Apple,
85,"[133.99449465096095, 78.71055161720828, 79.45266399826284]",164.7738119,235.2556482,234.4498725,168.5257459,174.5353871,Apple,
86,"[228.81628185590486, 204.53867858217973, 128.70483707896418]",243.07734,267.3353155,331.8786375,137.163513,332.8030904,Apple,
87,"[156.56239509229596, 98.77851023107246, 111.25770318688548]",178.3968404,247.5787025,234.3732611,162.6453943,215.979754,Apple,
88,"[149.1993989052396, 93.88171125300966, 90.84945348490191]",168.110577,237.6408778,240.8726598,156.5413728,198.31253,Apple,
89,"[220.8666298555617, 184.7733025377829, 60.14498997583501]",197.2908516,239.439506,347.6948611,71.92697873,294.1779416,Apple,
90,"[192.96478240718662, 103.6613951867239, 99.41260929458625]",156.4510146,264.6160378,268.6792293,132.2635987,240.549286,Apple,
91,"[150.3360009722333, 154.01406901266913, 103.51105598480322]",213.0479403,208.5991614,263.1922241,147.6136243,238.8216601,Apple,
92,"[90.68638158911425, 85.66567202508166, 56.10551714935728]",193.6114708,200.1148757,234.7799874,190.8945516,136.7861697,Apple,
93,"[207.30009293082148, 110.14887337058929, 90.35051695773541]",150.2373833,268.5486796,286.7325498,115.9618176,251.5339316,Apple,
94,"[223.42141852600767, 149.61968209230898, 108.51868971088658]",187.508832,269.8118746,306.2024719,114.0616807,289.9646281,Apple,
95,"[129.85831529745622, 76.65693379764808, 67.18193511362013]",161.400555,230.6140579,240.8632248,167.267304,165.0844631,Apple,
96,"[125.97523505195693, 77.15642800431407, 54.550489648466375]",159.9257961,224.6638642,249.0037759,165.3470261,157.4758081,Apple,
97,"[160.6240590682092, 90.76345398485175, 86.8342041357757]",157.1146136,245.5889053,249.6353898,148.1825293,203.9075083,Apple,
98,"[136.46548783071384, 94.99566918196786, 87.39653288867827]",175.2505683,227.7331096,236.0888153,163.0619234,187.8434468,Apple,
99,"[158.72012560673997, 92.69118302880784, 51.427014303134584]",143.1998863,232.7680565,274.2730285,130.9317266,190.8624413,Apple,
100,"[169.33262493962437, 138.17926029230463, 66.72745422513428]",175.7411741,216.2710712,288.4676712,111.8517071,228.5160804,Orange,"176.22351837226557,
 239.3933294163915,
 292.4997788450778,
 126.13520837802974,
 234.0243700434754"
101,"[132.65493047748018, 116.54943774182003, 18.564833124743615]",169.990413,192.640966,295.0977637,132.8925357,177.5549353,Orange,
102,"[126.37203480590209, 104.30215508837057, 30.529524554180654]",168.392829,199.0270924,277.913341,145.4697002,166.6759809,Orange,
103,"[163.61546409245878, 112.56035268236842, 32.30183303125551]",148.5408187,219.3227796,298.3862039,110.2018985,201.2045265,Orange,
104,"[171.95914621920855, 145.03285408039304, 120.79381266993899]",206.2073164,237.1789753,261.9461346,147.9378771,255.3343336,Orange,
105,"[205.76468387543488, 162.7497152139342, 67.77539382081349]",183.0439569,235.4627873,322.3036272,83.80145669,270.9613975,Orange,
106,"[230.22547458967242, 185.1947833300138, 153.54661705470875]",241.841784,285.3998967,312.3998493,156.8380375,332.982643,Orange,
107,"[129.51931322900762, 107.08026688996364, 96.44300332576776]",191.0833305,218.9903031,231.0449247,168.5270041,193.7593583,Orange,
108,"[142.14583994547053, 83.76123039348347, 32.41058617276862]",144.230549,224.89687,277.0693608,142.7804091,168.1422898,Orange,
109,"[228.81895999814483, 138.155563781256, 43.29745173214758]",147.1294532,260.5482835,340.9736723,57.27774383,270.7761909,Orange,
110,"[146.97941753384745, 126.14788186602529, 52.56022991574633]",174.1961885,202.40651,280.1751199,126.2557369,200.6958272,Orange,
111,"[204.4555971058465, 143.50294159728503, 83.89229776422512]",173.7404631,247.5310139,302.7755459,100.273515,263.5016187,Orange,
112,"[151.72082236083526, 129.76868098019133, 101.16050835887255]",194.2677213,221.2137872,252.0430671,148.7994719,223.813688,Orange,
113,"[223.97497454829835, 187.18975145571008, 156.05680044809085]",245.6751518,281.276988,308.2118574,160.6507462,330.9962496,Orange,
114,"[183.17610117650736, 108.31740215747243, 42.781090270538286]",136.8267289,238.5361403,300.5378667,101.0040149,217.0630446,Orange,
115,"[208.7812612860434, 178.91837008505223, 147.98039739059877]",236.7406872,266.9760804,295.0501543,155.6537531,312.2492534,Orange,
116,"[218.44212619399522, 180.96175816510763, 140.27271278174456]",231.8621789,269.9538066,305.9844291,145.8344603,316.4499239,Orange,
117,"[160.80763878237107, 128.0804584808186, 79.67614527221342]",177.8344536,219.8089053,270.1891089,128.7771004,220.481266,Orange,
118,"[95.12526427194898, 67.88241012281208, 17.369228860524302]",174.555558,210.6264429,264.8116706,187.8655037,118.1462129,Orange,
119,"[114.36669755053632, 63.538778062231586, 35.978838366877525]",158.4593919,225.901788,255.1219063,177.1061324,135.6885943,Orange,
120,"[181.85755160781358, 97.26493055130175, 37.693223337328355]",127.4011914,243.6663709,299.5911731,106.576904,209.6506973,Orange,
121,"[123.86883399868346, 57.68702568002598, 33.147536043586285]",147.0439892,235.3182038,260.5567054,172.6563532,140.6059747,Orange,
122,"[229.8526427832278, 182.2959345116122, 128.3194096063351]",224.3436386,273.1006946,319.5497099,131.8992411,320.2029294,Orange,
123,"[203.05809588596233, 146.61421376611085, 99.50099203396874]",184.6459761,250.7598779,294.8020683,113.7384981,269.4972456,Orange,
124,"[134.09606528469948, 109.41077358717907, 47.96470117993126]",169.9679128,203.6629326,269.8445609,141.4515326,179.5914382,Orange,
125,"[236.82664035259552, 182.35220196086647, 85.09887943345784]",202.0505279,261.9281952,343.8103749,88.73099343,310.774842,Orange,
126,"[212.85782226884095, 141.99606451018977, 33.91176138119987]",151.9501663,243.3687521,338.1587558,58.78053889,258.1111048,Orange,
127,"[240.16383997885936, 161.3225598293471, 74.6348290793769]",178.3688248,268.3737889,340.9328867,76.18394137,298.7875433,Orange,
128,"[223.29846054175562, 183.55161416226522, 96.6133379580179]",209.834029,253.5768353,329.605419,103.3599877,304.7745636,Orange,
129,"[160.9842361235988, 133.9655379955179, 105.0462495033219]",194.4747895,227.1562894,257.582641,144.3496319,234.3019509,Orange,
130,"[203.09025427196133, 93.64119286560268, 55.26735471442654]",120.4897307,265.2108529,299.845717,104.1209948,230.3666748,Orange,
131,"[223.2859758405188, 141.75271680707877, 32.82422712768351]",148.9195821,252.5054535,345.4164643,51.22153249,266.5105807,Orange,
132,"[234.12667034766173, 170.5576730138379, 122.52374179595681]",211.0395295,277.4128181,318.5202923,124.4132265,314.5111841,Orange,
133,"[234.184587670463, 143.58341496054263, 103.58933685333292]",178.2701017,279.2612168,313.6619312,107.808637,293.5802597,Orange,
134,"[129.0743249415148, 67.4674065715472, 59.3686293921966]",154.7053999,235.2727972,243.8927335,169.9838715,157.2789448,Orange,
135,"[231.0358369840331, 138.13523174843937, 38.72847963847545]",145.4493675,261.791572,345.3002617,52.87619519,271.953664,Orange,
136,"[183.68138857473483, 119.83616886068656, 13.306531325976751]",140.0861002,228.4407528,326.3668069,85.45864353,219.7194203,Orange,
137,"[189.80037465089728, 162.08651306917275, 107.56636110458594]",205.1671292,237.1236393,289.8842835,125.8173342,271.7843667,Orange,
138,"[159.9607301314298, 71.61726480694163, 20.064767412682297]",120.681773,244.1705503,293.1058364,134.7419494,176.4059599,Orange,
139,"[191.86219291626378, 123.42065517529696, 33.98433883253248]",142.7374376,235.1152065,317.6345096,82.88642763,230.6484218,Orange,
140,"[201.71255069310772, 139.22872584087116, 95.45627599326036]",177.0200299,251.4017535,292.4496385,112.319239,263.0294505,Orange,
141,"[199.6231256554772, 121.06823728306259, 20.97131345486514]",134.7735593,241.3025183,330.569715,73.73190609,234.407138,Orange,
142,"[124.81045164753687, 90.24678279893556, 108.91114423384559]",192.2379714,233.6298542,212.2830291,185.4696722,188.636603,Orange,
143,"[138.00440951278657, 121.5918007088716, 18.65928997131748]",169.7666142,192.8500293,299.4774019,126.1761034,184.8727999,Orange,
144,"[139.90820278461015, 98.36925310893777, 68.45356793451784]",166.1581256,220.8922521,253.0817782,149.5716189,184.2191796,Orange,
145,"[235.50180716012153, 178.82861948242112, 116.96571395768495]",214.571277,273.7593078,326.3345529,119.3833677,317.9964694,Orange,
146,"[128.18249155696637, 90.45679368717131, 58.01079287140466]",166.2238372,216.495889,251.8291691,158.1284988,167.2675544,Orange,
147,"[231.05681774282857, 191.70763437266424, 118.17400021183292]",226.4733701,267.1296893,329.9400314,123.4976438,322.6517696,Orange,
148,"[229.1242108253093, 200.6905967490138, 138.817279072195]",245.3905236,273.3452985,325.9954666,145.6489345,334.7310212,Orange,
149,"[159.22122328208226, 119.56144350428285, 87.06882133049938]",176.2086618,226.4420018,260.4749844,137.1831481,217.3184676,Orange,
150,"[163.61407107003262, 101.31447407594503, 35.066464775152305]",140.8746521,227.1969676,292.2412476,116.7771004,195.6114615,Orange,
151,"[106.0387852266852, 71.35418381049014, 47.05005668960492]",171.7398349,217.2181337,244.0877351,182.1337153,136.1960034,Orange,
152,"[189.61348438224223, 127.17611280077175, 97.25439361502998]",172.9380732,248.4967539,277.5080422,123.1440618,248.1641678,Orange,
153,"[85.35333805577382, 82.48621235371925, 43.533460282139735]",193.5952667,197.3356567,242.5020927,193.6070175,126.429149,Orange,
154,"[197.93523924947817, 148.2639294557839, 125.33564488688796]",202.3551422,257.4489689,279.2371693,138.7281761,277.2536304,Orange,
155,"[206.81143116808698, 179.5942506450775, 154.87706982373868]",241.9982227,269.1540486,291.6327555,162.8558782,314.661675,Orange,
156,"[184.75877101965128, 123.65233167457698, 62.164056429291364]",155.2034126,235.0582552,294.2981545,102.5077062,230.8464262,Orange,
157,"[114.48614210398543, 96.0030670766085, 89.72101643887011]",192.3813763,215.4923716,222.8021724,180.428883,174.280023,Orange,
158,"[160.63715037199665, 105.94025376767105, 68.45242605614756]",157.5227583,229.5840514,268.00677,130.6833411,204.2385029,Orange,
159,"[187.8538580662169, 136.627222999282, 87.76042865204487]",175.7199342,238.7531762,286.2256877,114.0855455,248.310215,Orange,
160,"[246.72752908196915, 196.77810819280455, 122.07665218977942]",231.7169969,281.3662583,342.4393579,126.4159442,338.3767227,Orange,
161,"[216.19554536340155, 132.65558023916603, 94.74660581222561]",167.5715011,265.8676178,300.0319436,107.3725594,270.7673099,Orange,
162,"[110.43874393185303, 80.95681918104225, 21.524094224488532]",167.0785742,207.2463066,270.6690254,168.5956691,138.6146073,Orange,
163,"[176.69442626600554, 125.96397881029024, 50.168719118444535]",156.574542,224.4729726,298.4019066,100.8586843,222.7212262,Orange,
164,"[218.5820984824471, 167.3776349298732, 64.92848436553247]",183.186365,244.2775485,334.5453445,74.482379,282.8588244,Orange,
165,"[221.39137075908087, 162.4846144995272, 98.25716206381537]",192.8347993,259.2830606,316.2020023,103.876547,291.6673771,Orange,
166,"[228.04825339426077, 141.25909938333996, 52.284723912835084]",153.0170649,260.1474403,336.234475,63.43279406,273.3017223,Orange,
167,"[182.43454521748262, 149.13840417753687, 123.05764497782887]",206.5216522,244.1971022,270.0618669,143.7376758,265.8341793,Orange,
168,"[170.5604187349916, 107.22831413573698, 60.27349691410294]",149.2006993,233.5812964,280.1913253,118.7455473,210.2894724,Orange,
169,"[203.34335307797662, 161.4598231466041, 125.4527986493174]",210.8935474,256.5866104,290.1728297,135.7178939,288.3681647,Orange,
170,"[177.59915520669884, 143.1611422354192, 104.11982395456364]",193.2018146,234.2868493,273.4984462,131.5627767,250.753884,Orange,
171,"[206.15412303634744, 146.37679230872303, 105.20683725865122]",186.7633894,255.6697133,293.87698,117.478603,273.8506279,Orange,
172,"[218.33397052035866, 112.83299280306396, 26.341894630247566]",121.5301501,261.8684327,335.6866636,68.99050493,247.1738303,Orange,
173,"[174.28048046557078, 116.72649134270809, 73.42074706581388]",159.7852331,234.2730355,277.4342891,119.3171344,222.2371835,Orange,
174,"[222.66978506252536, 160.04833018297992, 79.1167359532151]",181.4391598,254.6705925,325.7794096,85.61086228,285.4063053,Orange,
175,"[227.27259019631, 200.38718933809537, 153.29310575475202]",253.8160972,279.5248927,319.612497,159.7492995,339.5683027,Orange,
176,"[166.7164013217511, 130.52436512195374, 45.143279090220986]",163.9161961,212.9001122,298.112079,104.9784685,216.4922262,Orange,
177,"[180.98434203476617, 144.6705625932979, 56.452584901995614]",172.031345,219.3508859,305.1327249,95.28115234,238.4780872,Orange,
178,"[159.16779595998077, 109.84787930835336, 66.64670592279629]",160.2877142,225.4890437,269.9590844,129.1020959,204.5549493,Orange,
179,"[205.5697244037599, 116.07759174090455, 19.551078629560056]",127.669903,248.8786688,333.4203255,72.24263873,236.8863938,Orange,
180,"[212.94874749273424, 158.43939325720265, 66.7753628792746]",177.0036674,243.1667513,325.3901111,79.18521633,273.6953772,Orange,
181,"[133.96156315649625, 109.11723062884428, 48.093591320828445]",169.9113496,203.8148089,269.5598864,141.7257233,179.3467701,Orange,
182,"[209.18951538109425, 171.28033847183232, 152.60610536958487]",233.9319949,272.1357354,289.1050282,159.457413,310.4606756,Orange,
183,"[231.1161086655124, 185.46941497928913, 153.40462672315078]",241.872536,285.9757637,313.2653499,156.5963496,333.6862884,Orange,
184,"[177.95731759028953, 104.46512960820712, 6.020811028011339]",129.9414806,233.1647577,323.3765711,98.16463524,206.4413242,Orange,
185,"[166.04993476494272, 130.59450239035237, 78.98725964865234]",176.6522724,222.0096751,274.9690704,123.8339193,225.5360106,Orange,
186,"[209.68698723553277, 112.13384723092055, 45.75885376389235]",129.310253,257.8240542,316.7404136,83.31849694,242.1497574,Orange,
187,"[106.47897297370743, 97.74583599747449, 55.31964268625194]",186.2068924,197.805224,246.5040877,172.1681762,154.7652513,Orange,
188,"[159.54612022037338, 103.47316486339433, 53.35621745104963]",150.5490782,226.4116432,277.1675944,125.4746211,197.5058132,Orange,
189,"[112.88124505581501, 102.33757582555684, 28.514226838643097]",177.4366959,191.9923237,272.9669584,157.9157403,155.010374,Orange,
190,"[190.75366135881634, 91.65455430279154, 33.406277388981614]",116.808085,253.3469426,306.416864,103.068549,214.2510117,Orange,
191,"[167.5338402812718, 110.47398327046288, 53.78017136602833]",150.8215399,227.7008212,284.1856929,116.2571393,207.760428,Orange,
192,"[120.50478456724493, 75.30588816105787, 50.11659120485717]",162.0852013,222.0879322,249.3383065,169.2503158,150.6786402,Orange,
193,"[111.45879731592709, 58.544615727160675, 19.65102749988244]",156.2616773,226.7243798,266.907614,179.7859521,127.423304,Orange,
194,"[162.97670033517736, 109.92570843395694, 38.81817751461447]",148.5220521,221.6186044,292.1979579,114.0540055,200.3794329,Orange,
195,"[219.15145783189266, 180.15914597594445, 151.24257395800507]",237.9427495,276.5914516,302.0766174,156.1705281,321.4949386,Orange,
196,"[208.7201764807708, 85.19802116275653, 12.933988873498633]",97.81519792,269.3772673,330.7850792,93.15291707,225.8098823,Orange,
197,"[82.52380133692448, 78.65971441867913, 22.162696214018233]",190.8574727,195.952186,259.2503394,194.1490899,116.1409211,Orange,
198,"[136.37684111010475, 91.54400677111704, 58.16913371225186]",160.7339638,220.6811107,256.3617325,151.1650915,174.2486616,Orange,
199,"[111.18315730859828, 92.29405026791582, 48.048510094206925]",177.5109441,202.8388027,252.4060327,168.1609309,152.2778563,Orange,
200,"[117.06475114547189, 119.27880139639942, 130.38747196624897]",224.1750615,221.6422626,208.470311,195.2369169,211.9728314,Clock,"216.90015530847035,
 232.7585115720062,
 241.15963943447477,
 179.49398677123304,
 228.130332447708"
201,"[174.6103210337115, 173.9684292863898, 149.03149796587886]",242.7712962,243.4445872,268.2966679,169.5680412,288.0350083,Clock,
202,"[85.0929396268227, 77.49678659222366, 103.87605727819901]",213.6922937,222.5723128,189.960539,217.521164,155.0380456,Clock,
203,"[183.7935569044086, 165.99998096330495, 131.43347116588635]",223.3855603,242.8494025,276.7756353,149.4861694,280.3762161,Clock,
204,"[190.1666472222242, 164.24844946334872, 154.34967746935814]",234.5308929,261.1953686,270.6868935,167.4149079,294.8978294,Clock,
205,"[125.54902712696939, 133.42535890987645, 173.02023741788514]",253.9603972,245.924692,200.7126456,218.3815809,251.9938237,Clock,
206,"[182.14791150100834, 103.04834949525612, 87.86058494159532]",153.7721416,252.9558225,267.829065,129.8649921,226.9720388,Clock,
207,"[105.76405781774267, 121.39284400510347, 115.60388359265329]",224.4367325,205.915434,212.9636959,193.7452152,198.2082652,Clock,
208,"[133.89870856453211, 117.2045115826439, 105.48671529137509]",198.8211946,219.1892057,232.4219955,167.5630586,206.8651947,Clock,
209,"[149.0798850992875, 153.86075619119174, 160.37165128672504]",246.1935612,241.1908483,234.2060392,192.5155059,267.6135478,Clock,
